DIYABC :                   PRIOR CHECKING                         Wed Feb 10 09:14:58 2021

Data file                     : indseq_SNP_sim_dataset_4POP_001.snp
Reference table               : /tmp/RtmpFzHFy7/diyabc_rf70e55c8f34a4/reftableRF.bin
Number of simulated data sets : 12000

Values indicate for each summary statistics the proportion 
of simulated data sets which have a value below the observed one
 Summary           observed    scenario       scenario       scenario       scenario       scenario       scenario   
statistics           value         1              2              3              4              5              6      
NEIv_1.4           (0.0041  )   0.1187         0.3282         0.3898         0.3696         0.1058         0.0935         
NEIv_2.3           (0.0053  )   0.4884         0.6285         0.4751         0.6752         0.6269         0.4758         
NEIv_2.4           (0.0051  )   0.6272         0.4646         0.3683         0.1999         0.6051         0.4211         
NEIv_3.4           (0.0037  )   0.4624         0.1833         0.3373         0.0660         0.2573         0.6010         
AMLm_1.2.3         (0.4614  )   0.2253         0.1995         0.2059         0.1712         0.2046         0.1787         
AMLm_2.1.3         (0.4446  )   0.4694         0.6756         0.5242         0.6569         0.6469         0.4408         
AMLm_3.1.2         (0.4844  )   0.7129         0.8585         0.7776         0.8776         0.8127         0.7252         
AMLm_1.2.4         (0.4258  )   0.1079         0.4951         0.5108         0.4460         0.0970         0.0832         
AMLm_2.1.4         (0.4592  )   0.7281         0.6177         0.5094         0.1507         0.6961         0.4755         
AMLm_4.1.2         (0.5291  )   0.9683 (*)     0.6231         0.4924         0.3356         0.9341         0.9060         
AMLm_1.3.4         (0.4546  )   0.1913         0.6369         0.7256         0.5710         0.2086         0.1245         
AMLm_3.1.4         (0.4378  )   0.6704         0.3877         0.6356         0.1077         0.4105         0.7823         
AMLm_4.1.3         (0.4867  )   0.8471         0.2723         0.4194         0.1134         0.6728         0.9436         
AMLm_2.3.4         (0.5226  )   0.8756         0.4021         0.4635         0.1479         0.5900         0.7815         
AMLm_3.2.4         (0.4645  )   0.5775         0.0651         0.3267         0.0207 (*)     0.1031         0.6818         
AMLm_4.2.3         (0.4449  )   0.1720         0.0903         0.3390         0.1197         0.0547         0.5880         
AMLv_1.2.3         (0.2001  )   0.3381         0.2500         0.3708         0.2454         0.2365         0.3441         
AMLv_2.1.3         (0.2000  )   0.8193         0.8964         0.8010         0.9055         0.8989         0.7875         
AMLv_3.1.2         (0.1908  )   0.5178         0.6459         0.5392         0.6194         0.6281         0.5355         
AMLv_1.2.4         (0.1934  )   0.1274         0.4256         0.5076         0.7229         0.1352         0.2245         
AMLv_2.1.4         (0.2060  )   0.9490         0.7923         0.6164         0.5500         0.9481         0.8875         
AMLv_4.1.2         (0.1875  )   0.6220         0.5633         0.6077         0.3976         0.5481         0.4185         
AMLv_1.3.4         (0.2047  )   0.3028         0.7682         0.7377         0.9198         0.4905         0.1974         
AMLv_3.1.4         (0.1971  )   0.8144         0.4205         0.5565         0.3458         0.7004         0.9225         
AMLv_4.1.3         (0.1893  )   0.7078         0.5992         0.7490         0.4608         0.4895         0.7650         
AMLv_2.3.4         (0.2094  )   0.8553         0.9456         0.7433         0.9715 (*)     0.9702 (*)     0.5338         
AMLv_3.2.4         (0.1913  )   0.3239         0.4654         0.4186         0.7439         0.3383         0.6213         
AMLv_4.2.3         (0.1932  )   0.6419         0.3049         0.4665         0.1247         0.3829         0.6376         
FST3m_1.2.3        (0.0652  )   0.2945         0.3349         0.2880         0.4263         0.3305         0.2885         
FST3m_1.2.4        (0.0605  )   0.3141         0.3395         0.3338         0.2814         0.2879         0.2240         
FST3m_1.3.4        (0.0473  )   0.1519         0.1626         0.2182         0.1344         0.1046         0.1703         
FST3m_2.3.4        (0.0499  )   0.4658         0.3364         0.3198         0.1804         0.4245         0.4149         
FST3v_1.2.3        (0.0086  )   0.2917         0.3221         0.2818         0.4045         0.3164         0.2871         
FST3v_1.2.4        (0.0080  )   0.2938         0.3413         0.3306         0.2794         0.2736         0.2281         
FST3v_1.3.4        (0.0067  )   0.1627         0.1777         0.2244         0.1462         0.1196         0.1686         
FST3v_2.3.4        (0.0068  )   0.4470         0.3221         0.3067         0.1642         0.4005         0.3887         
FST4m_1.2.3.4      (0.0557  )   0.2732         0.2603         0.2678         0.2249         0.2397         0.2456         
FST4v_1.2.3.4      (0.0059  )   0.2353         0.2510         0.2502         0.2176         0.2164         0.2180         
F3m_1.2.3          (0.0133  )   0.3298         0.2674         0.3227         0.3436         0.2570         0.3427         
F3m_2.1.3          (0.0109  )   0.6617         0.7600         0.6568         0.7979         0.7548         0.6458         
F3m_3.1.2          (0.0057  )   0.3628         0.5256         0.3563         0.5865         0.5206         0.3508         
F3m_1.2.4          (0.0097  )   0.1259         0.3341         0.4391         0.6799         0.1354         0.1827         
F3m_2.1.4          (0.0144  )   0.8095         0.5515         0.4482         0.4700         0.8235         0.7410         
F3m_4.1.2          (0.0035  )   0.4217         0.5356         0.5459         0.2289         0.3353         0.1489         
F3m_1.3.4          (0.0107  )   0.1385         0.4338         0.3484         0.7089         0.2289         0.0926         
F3m_3.1.4          (0.0083  )   0.6707         0.1779         0.2421         0.2024         0.5158         0.7851         
F3m_4.1.3          (0.0026  )   0.3489         0.4021         0.6600         0.1672         0.0938         0.4115         
F3m_2.3.4          (0.0118  )   0.6393         0.8203         0.5429         0.8141         0.8601         0.4372         
F3m_3.2.4          (0.0048  )   0.2621         0.4015         0.4263         0.5225         0.3691         0.6165         
F3m_4.2.3          (0.0061  )   0.7636         0.2567         0.4053         0.0200 (*)     0.4341         0.6974         
F3v_1.2.3          (0.0020  )   0.2781         0.2695         0.2665         0.3358         0.2605         0.2791         
F3v_2.1.3          (0.0018  )   0.3648         0.4418         0.3624         0.4985         0.4300         0.3619         
F3v_3.1.2          (0.0015  )   0.3118         0.3592         0.3082         0.3911         0.3546         0.3110         
F3v_1.2.4          (0.0015  )   0.2088         0.2828         0.3000         0.3443         0.2026         0.2108         
F3v_2.1.4          (0.0021  )   0.5337         0.4005         0.3479         0.3373         0.5271         0.4295         
F3v_4.1.2          (0.0012  )   0.3393         0.3418         0.3373         0.2749         0.3235         0.2499         
F3v_1.3.4          (0.0015  )   0.1900         0.2790         0.2793         0.3328         0.1976         0.1715         
F3v_3.1.4          (0.0013  )   0.3424         0.2262         0.2589         0.2011         0.2816         0.3856         
F3v_4.1.3          (0.0010  )   0.3234         0.2979         0.3609         0.2441         0.2362         0.3520         
F3v_2.3.4          (0.0017  )   0.4604         0.4982         0.3765         0.4280         0.5599         0.3767         
F3v_3.2.4          (0.0011  )   0.3393         0.3390         0.3373         0.3331         0.3353         0.3935         
F3v_4.2.3          (0.0011  )   0.4029         0.2779         0.3057         0.1432         0.3370         0.3902         
F4m_1.2.3.4        (-0.0035 )   0.0000 (***)   0.6651         0.6861         0.7919         0.2570         0.0005 (***)   
F4m_1.3.2.4        (-0.0026 )   0.0005 (***)   0.8182         0.5735         0.8396         0.3052         0.0005 (***)   
F4m_1.4.2.3        (0.0009  )   0.6146         0.8282         0.3087         0.7039         0.8423         0.1712         
F4v_1.2.3.4        (0.0011  )   0.3625         0.2674         0.3065         0.2449         0.2994         0.4024         
F4v_1.3.2.4        (0.0013  )   0.3764         0.3082         0.2865         0.2666         0.3719         0.3156         
F4v_1.4.2.3        (0.0010  )   0.2997         0.4033         0.3733         0.4243         0.3388         0.2835         
